roll, pitch,
-0.351397, -1.180836, 
-0.353753, -1.177832, 
-0.349880, -1.181997, 
-0.353117, -1.178834, 
-0.351416, -1.181679, 
-0.351523, -1.181000, 
-0.349930, -1.181798, 
-0.353218, -1.178998, 
-0.352108, -1.179634, 
-0.350261, -1.182309, 
-0.352165, -1.179680, 
-0.350120, -1.182082, 
-0.352107, -1.179837, 
-0.352478, -1.180011, 
-0.352543, -1.179637, 
-0.351722, -1.180500, 
-0.351433, -1.180640, 
-0.349770, -1.181950, 
-0.350741, -1.180891, 
-0.353921, -1.178082, 
-0.349920, -1.182554, 
-0.354273, -1.178310, 
-0.350975, -1.181034, 
-0.351841, -1.181307, 
-0.352868, -1.178969, 
-0.351201, -1.181095, 
-0.351168, -1.181316, 
-0.349843, -1.182027, 
-0.351174, -1.181034, 
-0.351146, -1.181505, 
-0.350883, -1.181144, 
-0.351156, -1.181147, 
-0.350044, -1.182621, 
-0.351384, -1.180838, 
-0.352401, -1.179750, 
-0.350918, -1.181984, 
-0.353101, -1.178775, 
-0.349543, -1.181756, 
-0.350093, -1.182850, 
-0.352824, -1.179520, 
-0.351723, -1.179896, 
-0.350751, -1.181498, 
-0.351728, -1.181049, 
-0.352099, -1.181281, 
-0.350663, -1.182297, 
-0.352273, -1.180261, 
-0.353795, -1.178587, 
-0.358140, -1.177102, 
-0.349164, -1.183399, 
-0.347927, -1.184804, 
-0.349622, -1.181126, 
-0.349969, -1.182060, 
-0.356063, -1.176574, 
-0.354811, -1.180001, 
-0.352946, -1.179301, 
-0.352089, -1.183088, 
-0.350367, -1.181530, 
-0.348049, -1.182871, 
-0.348411, -1.183817, 
-0.349740, -1.183497, 
-0.350436, -1.182467, 
-0.351792, -1.181044, 
-0.350886, -1.182492, 
-0.351870, -1.181296, 
-0.349432, -1.184338, 
-0.349906, -1.182889, 
-0.352792, -1.179435, 
-0.349290, -1.182406, 
-0.351775, -1.181349, 
-0.351497, -1.181398, 
-0.350649, -1.182793, 
-0.351736, -1.180795, 
-0.350972, -1.181172, 
-0.351232, -1.181675, 
-0.350567, -1.183208, 
-0.350484, -1.182609, 
-0.351598, -1.181098, 
-0.350469, -1.182281, 
-0.349639, -1.183204, 
-0.349647, -1.184000, 
-0.350324, -1.183976, 
-0.352534, -1.179792, 
-0.351858, -1.181032, 
-0.350501, -1.183347, 
-0.349318, -1.183297, 
-0.352635, -1.179424, 
-0.349040, -1.182699, 
-0.350868, -1.182346, 
-0.352546, -1.180686, 
-0.349845, -1.183284, 
-0.351117, -1.181914, 
-0.351022, -1.182232, 
-0.350290, -1.182498, 
-0.351772, -1.180930, 
-0.350779, -1.182482, 
-0.353209, -1.180276, 
-0.354290, -1.178930, 
